Name,Location,Price,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Brand,Model,Age,Country
Hyundai Creta 1.6 VTVT S,Kochi,13444.06,2016,36855,Petrol,Manual,Second,15.29,1591,121.3,5.0,Hyundai,Creta 1.6 VTVT S,8,South Korea
Hyundai i10 Magna 1.2,Kochi,5242.72,2013,46821,Petrol,Manual,First,20.36,1197,78.9,5.0,Hyundai,i10 Magna 1.2,11,South Korea
Chevrolet Beat LS,Kolkata,3832.4,2015,120000,Petrol,Manual,First,18.6,1199,76.8,5.0,Chevrolet,Beat LS,9,USA
Jaguar XF 3.0 Litre S Premium Luxury,Kolkata,30659.2,2012,29000,Diesel,Automatic,First,14.74,2993,270.9,5.0,Jaguar,XF 3.0 Litre S Premium Luxury,12,UK
Nissan Terrano XL,Mumbai,8048.04,2014,40000,Petrol,Manual,First,13.24,1598,102.5,5.0,Nissan,Terrano XL,10,Japan
Audi Q3 2012-2015 2.0 TDI Quattro Premium Plus,Delhi,22227.92,2013,60000,Diesel,Automatic,Second,15.73,1968,174.33,5.0,Audi,Q3 2012-2015 2.0 TDI Quattro Premium Plus,11,Germany
Hyundai i10 Asta AT,Mumbai,5288.71,2011,64984,Petrol,Automatic,First,16.95,1197,78.9,5.0,Hyundai,i10 Asta AT,13,South Korea
Maruti Alto K10 VXI AGS,Pune,5058.77,2015,73204,Petrol,Automatic,First,24.07,998,67.1,5.0,Maruti,Alto K10 VXI AGS,9,India
Audi Q7 4.2 TDI Quattro Technology,Bangalore,78180.96,2014,50000,Diesel,Automatic,First,11.33,4134,335.2,7.0,Audi,Q7 4.2 TDI Quattro Technology,10,Germany
Maruti Vitara Brezza VDi,Kolkata,9964.24,2017,35000,Diesel,Manual,First,24.3,1248,88.5,5.0,Maruti,Vitara Brezza VDi,7,India
Hyundai EON D Lite Plus,Hyderabad,5595.3,2013,17729,Petrol,Manual,First,21.1,814,55.2,5.0,Hyundai,EON D Lite Plus,11,South Korea
Mahindra XUV300 W8 Diesel,Chennai,11113.96,2012,97000,Diesel,Manual,First,20.0,1497,115.0,5.0,Mahindra,XUV300 W8 Diesel,12,India
Hyundai Verna CRDi 1.6 SX Option,Kochi,9213.09,2014,89614,Diesel,Manual,First,22.0,1582,126.2,5.0,Hyundai,Verna CRDi 1.6 SX Option,10,South Korea
Maruti Wagon R VXI,Kolkata,4292.29,2015,14000,Petrol,Manual,First,18.9,998,67.1,5.0,Maruti,Wagon R VXI,9,India
Hyundai i20 Sportz Option,Chennai,6131.84,2012,50000,Petrol,Manual,First,17.0,1197,80.0,5.0,Hyundai,i20 Sportz Option,12,South Korea
Honda City i VTEC V,Delhi,9121.11,2014,62505,Petrol,Manual,First,17.4,1497,117.3,5.0,Honda,City i VTEC V,10,Japan
Toyota Innova 2.5 V Diesel 7-seater,Chennai,14103.23,2011,248000,Diesel,Manual,Second,12.8,2494,102.0,7.0,Toyota,Innova 2.5 V Diesel 7-seater,13,Japan
Hyundai Verna CRDi SX,Pune,8201.34,2012,94900,Diesel,Manual,First,16.8,1493,110.0,5.0,Hyundai,Verna CRDi SX,12,South Korea
Tata Hexa XT,Delhi,18395.52,2017,55000,Diesel,Manual,First,17.6,2179,153.86,7.0,Tata,Hexa XT,7,India
Audi Q7 3.0 TDI Quattro Premium Plus,Coimbatore,59693.46,2015,53735,Diesel,Automatic,Second,12.07,2967,241.4,7.0,Audi,Q7 3.0 TDI Quattro Premium Plus,9,Germany
Maruti Wagon R VXI,Coimbatore,4123.66,2008,53934,Petrol,Manual,Second,18.9,998,67.1,5.0,Maruti,Wagon R VXI,16,India
BMW 5 Series 2013-2017 525d Luxury Line,Bangalore,42156.4,2013,58500,Diesel,Automatic,Second,17.09,1995,218.0,5.0,BMW,5 Series 2013-2017 525d Luxury Line,11,Germany
Honda Amaze EX i-Vtech,Kolkata,4215.64,2014,48000,Petrol,Manual,First,18.0,1198,86.7,5.0,Honda,Amaze EX i-Vtech,10,Japan
Maruti Alto 800 2016-2019 LXI,Mumbai,4292.29,2016,24000,Petrol,Manual,First,24.7,796,47.3,5.0,Maruti,Alto 800 2016-2019 LXI,8,India
Hyundai Verna 1.6 SX VTVT,Mumbai,9887.59,2016,52001,Petrol,Manual,First,17.01,1591,121.3,5.0,Hyundai,Verna 1.6 SX VTVT,8,South Korea
Tata Tiago 1.2 Revotron XZ,Coimbatore,9013.8,2018,9565,Petrol,Manual,First,23.84,1199,84.0,5.0,Tata,Tiago 1.2 Revotron XZ,6,India
Maruti Swift LXI,Pune,7128.26,2013,32953,Petrol,Manual,First,18.6,1197,85.8,5.0,Maruti,Swift LXI,11,India
Hyundai EON Era,Jaipur,3832.4,2014,18000,Petrol,Manual,First,21.1,814,55.2,5.0,Hyundai,EON Era,10,South Korea
Mercedes-Benz E-Class E 220 d,Kochi,78717.5,2018,20446,Petrol,Automatic,First,12.6,1950,191.34,5.0,Mercedes-Benz,E-Class E 220 d,6,Germany
Hyundai i20 Magna 1.4 CRDi,Hyderabad,10500.78,2016,33016,Diesel,Manual,First,22.54,1396,88.73,5.0,Hyundai,i20 Magna 1.4 CRDi,8,South Korea
Toyota Etios VD,Chennai,8048.04,2012,48000,Diesel,Manual,First,23.59,1364,67.05,5.0,Toyota,Etios VD,12,Japan
Toyota Corolla Altis Diesel D4DG,Coimbatore,14149.22,2014,72022,Diesel,Manual,First,21.43,1364,87.2,5.0,Toyota,Corolla Altis Diesel D4DG,10,Japan
Mini Cooper 5 DOOR D,Ahmedabad,33725.12,2014,34000,Diesel,Automatic,First,20.7,1496,113.98,5.0,Mini,Cooper 5 DOOR D,10,UK
Volkswagen Polo 1.5 TDI Highline,Hyderabad,7956.06,2014,69000,Diesel,Manual,First,20.14,1498,88.8,5.0,Volkswagen,Polo 1.5 TDI Highline,10,Germany
Skoda Superb Elegance 1.8 TSI AT,Pune,6668.38,2009,108000,Petrol,Automatic,First,13.7,1798,157.75,5.0,Skoda,Superb Elegance 1.8 TSI AT,15,Czech Republic
Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde,Hyderabad,37557.52,2013,34700,Diesel,Automatic,First,10.0,2148,170.0,5.0,Mercedes-Benz,E-Class 2009-2013 E 220 CDI Avantgarde,11,Germany
Maruti Swift VDi BSIII W/ ABS,Pune,8814.52,2015,79000,Diesel,Manual,First,17.8,1248,75.0,5.0,Maruti,Swift VDi BSIII W/ ABS,9,India
Honda City i VTEC CVT VX,Kochi,14087.9,2016,58197,Petrol,Automatic,First,18.0,1497,117.3,5.0,Honda,City i VTEC CVT VX,8,Japan
BMW 7 Series 2007-2012 740Li,Pune,16479.32,2008,66000,Petrol,Automatic,Second,8.45,2979,321.0,5.0,BMW,7 Series 2007-2012 740Li,16,Germany
Hyundai i10 Magna AT,Bangalore,4583.55,2009,60000,Petrol,Automatic,First,19.2,1197,80.0,5.0,Hyundai,i10 Magna AT,15,South Korea
Maruti Swift Dzire VDI,Kolkata,5963.21,2014,57000,Diesel,Manual,First,26.59,1248,74.0,5.0,Maruti,Swift Dzire VDI,10,India
Honda City i DTec VX,Coimbatore,17981.62,2018,45555,Diesel,Manual,First,26.0,1498,98.6,5.0,Honda,City i DTec VX,6,Japan
Maruti Omni 8 Seater BSIV,Coimbatore,4767.51,2016,55137,Petrol,Manual,First,14.0,796,35.0,5.0,Maruti,Omni 8 Seater BSIV,8,India
Skoda Superb 2009-2014 Elegance 2.0 TDI MT,Jaipur,22151.27,2014,93325,Diesel,Manual,Second,17.2,1968,138.1,5.0,Skoda,Superb 2009-2014 Elegance 2.0 TDI MT,10,Czech Republic
Maruti Ertiga SHVS VDI,Ahmedabad,13336.75,2018,38000,Diesel,Manual,First,24.52,1248,88.5,7.0,Maruti,Ertiga SHVS VDI,6,India
Hyundai Grand i10 CRDi Magna,Kochi,7726.12,2016,57738,Diesel,Manual,First,24.0,1120,70.0,5.0,Hyundai,Grand i10 CRDi Magna,8,South Korea
Maruti Ciaz VDi Plus SHVS,Jaipur,13030.16,2017,38282,Diesel,Manual,First,28.09,1248,88.5,5.0,Maruti,Ciaz VDi Plus SHVS,7,India
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Delhi,23990.82,2014,64000,Diesel,Automatic,First,19.27,2143,170.0,5.0,Mercedes-Benz,New C-Class C 220 CDI Avantgarde,10,Germany
Fiat Avventura MULTIJET Emotion,Mumbai,8661.22,2015,32000,Diesel,Manual,First,20.5,1248,91.72,5.0,Fiat,Avventura MULTIJET Emotion,9,Italy
Mercedes-Benz E-Class 2009-2013 E 250 Elegance,Bangalore,25293.84,2010,83000,Petrol,Automatic,First,10.93,2497,204.0,5.0,Mercedes-Benz,E-Class 2009-2013 E 250 Elegance,14,Germany
Maruti Zen Estilo LXI Green (CNG),Ahmedabad,3065.92,2011,76000,CNG,Manual,First,26.3,998,67.1,5.0,Maruti,Zen Estilo LXI Green (CNG),13,India
Volkswagen Vento Petrol Highline,Pune,5978.54,2012,67200,Petrol,Manual,First,15.04,1598,103.6,5.0,Volkswagen,Vento Petrol Highline,12,Germany
BMW 3 Series 320d Luxury Line,Jaipur,22227.92,2013,62655,Diesel,Automatic,First,18.88,1995,184.0,5.0,BMW,3 Series 320d Luxury Line,11,Germany
BMW 5 Series 2013-2017 530d M Sport,Bangalore,67450.24,2015,16900,Diesel,Automatic,First,14.69,2993,258.0,5.0,BMW,5 Series 2013-2017 530d M Sport,9,Germany
Hyundai Grand i10 1.2 Kappa Magna,Delhi,7664.8,2017,8471,Petrol,Manual,First,18.9,1197,81.86,5.0,Hyundai,Grand i10 1.2 Kappa Magna,7,South Korea
Toyota Innova Crysta 2.8 ZX AT,Hyderabad,30275.96,2016,69000,Diesel,Automatic,First,11.36,2755,171.5,7.0,Toyota,Innova Crysta 2.8 ZX AT,8,Japan
Renault Duster 110PS Diesel RxZ AMT,Coimbatore,17537.06,2017,30090,Diesel,Automatic,First,19.6,1461,108.45,5.0,Renault,Duster 110PS Diesel RxZ AMT,7,France
Tata Indica Vista Aura 1.3 Quadrajet,Chennai,2682.68,2011,120000,Diesel,Manual,First,18.0,1248,75.0,5.0,Tata,Indica Vista Aura 1.3 Quadrajet,13,India
Mercedes-Benz E-Class 2009-2013 E 200 CGI Avantgarde,Kochi,46632.64,2016,35939,Petrol,Manual,First,12.3,1796,185.0,5.0,Mercedes-Benz,E-Class 2009-2013 E 200 CGI Avantgarde,8,Germany
Mahindra XUV500 W8 4WD,Coimbatore,14670.43,2013,116694,Diesel,Manual,First,15.1,2179,140.0,7.0,Mahindra,XUV500 W8 4WD,11,India
Mahindra Bolero ZLX,Mumbai,5365.36,2016,40448,Diesel,Manual,First,15.96,2523,62.1,7.0,Mahindra,Bolero ZLX,8,India
Maruti Vitara Brezza ZDi,Coimbatore,16034.76,2018,64456,Diesel,Manual,First,24.3,1248,88.5,5.0,Maruti,Vitara Brezza ZDi,6,India
Fiat Avventura MULTIJET Emotion,Pune,7434.86,2014,52782,Diesel,Manual,First,20.5,1248,91.72,5.0,Fiat,Avventura MULTIJET Emotion,10,Italy
Honda Amaze S Petrol,Kochi,8707.21,2016,51672,Petrol,Manual,First,19.5,1199,88.76,5.0,Honda,Amaze S Petrol,8,Japan
Skoda Superb Elegance 1.8 TSI AT,Mumbai,20311.72,2015,56073,Petrol,Automatic,First,13.7,1798,157.75,5.0,Skoda,Superb Elegance 1.8 TSI AT,9,Czech Republic
Jaguar XF 3.0 Litre S Premium Luxury,Bangalore,24527.36,2011,65000,Diesel,Automatic,First,14.74,2993,270.9,5.0,Jaguar,XF 3.0 Litre S Premium Luxury,13,UK
Maruti Wagon R VXI BSIII,Chennai,4598.88,2013,79000,Petrol,Manual,First,18.9,998,67.1,5.0,Maruti,Wagon R VXI BSIII,11,India
Toyota Corolla Altis VL,Mumbai,7664.8,2010,70200,Petrol,Automatic,First,14.53,1798,138.1,5.0,Toyota,Corolla Altis VL,14,Japan
Maruti Swift VXi BSIV,Delhi,7281.56,2016,42000,Petrol,Manual,First,16.1,1197,85.0,5.0,Maruti,Swift VXi BSIV,8,India
Volkswagen Polo 1.2 MPI Highline,Bangalore,8201.34,2014,62000,Petrol,Manual,First,16.47,1198,74.0,5.0,Volkswagen,Polo 1.2 MPI Highline,10,Germany
Hyundai Grand i10 1.2 Kappa Asta,Hyderabad,9167.1,2017,20000,Petrol,Manual,First,18.9,1197,81.86,5.0,Hyundai,Grand i10 1.2 Kappa Asta,7,South Korea
Maruti SX4 ZDI,Chennai,5365.36,2011,80000,Diesel,Manual,Third,21.5,1248,88.8,5.0,Maruti,SX4 ZDI,13,India
Hyundai Grand i10 1.2 Kappa Magna,Kochi,7312.22,2018,50234,Petrol,Manual,First,18.9,1197,81.86,5.0,Hyundai,Grand i10 1.2 Kappa Magna,6,South Korea
Maruti Baleno Delta 1.2,Delhi,8354.63,2016,50003,Petrol,Manual,First,21.4,1197,83.1,5.0,Maruti,Baleno Delta 1.2,8,India
Tata Tigor 1.2 Revotron XTA,Ahmedabad,10500.78,2018,1000,Petrol,Automatic,First,20.3,1199,84.0,5.0,Tata,Tigor 1.2 Revotron XTA,6,India
Maruti Swift Dzire AMT ZDI,Jaipur,11190.61,2016,54897,Diesel,Automatic,First,26.59,1248,74.0,5.0,Maruti,Swift Dzire AMT ZDI,8,India
Tata Indica GLS BS IV,Pune,1916.2,2007,108995,Petrol,Manual,First,15.3,1193,65.3,5.0,Tata,Indica GLS BS IV,17,India
Maruti SX4 S Cross DDiS 320 Zeta,Chennai,12646.92,2015,73000,Diesel,Manual,First,22.7,1598,118.0,5.0,Maruti,SX4 S Cross DDiS 320 Zeta,9,India
Maruti Swift VXI BSIII,Ahmedabad,4154.32,2008,65000,Petrol,Manual,First,16.1,1298,88.2,5.0,Maruti,Swift VXI BSIII,16,India
Hyundai Xcent 1.2 Kappa SX,Kolkata,5518.66,2016,32000,Petrol,Manual,First,19.1,1197,82.0,5.0,Hyundai,Xcent 1.2 Kappa SX,8,South Korea
Hyundai i20 1.2 Magna,Ahmedabad,4598.88,2010,65000,Petrol,Manual,First,18.5,1197,80.0,5.0,Hyundai,i20 1.2 Magna,14,South Korea
Maruti Celerio VXI AT,Hyderabad,7128.26,2016,21600,Petrol,Automatic,First,23.1,998,67.04,5.0,Maruti,Celerio VXI AT,8,India
Mercedes-Benz New C-Class C 220 CDI Elegance AT,Mumbai,14563.12,2010,39000,Diesel,Automatic,First,14.84,2143,170.0,5.0,Mercedes-Benz,New C-Class C 220 CDI Elegance AT,14,Germany
Maruti Swift Dzire VXi,Mumbai,4522.23,2011,58075,Petrol,Manual,First,17.5,1298,85.8,5.0,Maruti,Swift Dzire VXi,13,India
Volkswagen Vento Petrol Trendline,Mumbai,4598.88,2011,58000,Petrol,Manual,First,15.04,1598,103.6,5.0,Volkswagen,Vento Petrol Trendline,13,Germany
Maruti Swift ZDi,Hyderabad,9121.11,2015,58000,Diesel,Manual,First,25.2,1248,74.0,5.0,Maruti,Swift ZDi,9,India
Toyota Corolla Altis VL,Delhi,6131.84,2008,89000,Petrol,Automatic,First,14.53,1798,138.1,5.0,Toyota,Corolla Altis VL,16,Japan
Honda Civic 2006-2010 1.8 V MT,Delhi,3832.4,2008,72000,Petrol,Manual,First,13.5,1799,130.0,5.0,Honda,Civic 2006-2010 1.8 V MT,16,Japan
Ford EcoSport 1.5 Ti VCT AT Titanium BE,Kolkata,17429.76,2017,1800,Petrol,Automatic,First,16.05,1499,110.4,5.0,Ford,EcoSport 1.5 Ti VCT AT Titanium BE,7,USA
Fiat Linea Emotion Pack (Diesel),Pune,3449.16,2010,172050,Diesel,Manual,Second,19.0,1248,93.0,5.0,Fiat,Linea Emotion Pack (Diesel),14,Italy
Hyundai i10 Era,Jaipur,4752.18,2013,46230,Petrol,Manual,First,19.81,1086,68.05,5.0,Hyundai,i10 Era,11,South Korea
Volvo XC60 D5 Inscription,Kochi,26336.25,2014,86925,Diesel,Automatic,First,11.2,2400,215.0,5.0,Volvo,XC60 D5 Inscription,10,Sweden
Hyundai i20 1.2 Asta,Jaipur,9964.24,2018,5000,Petrol,Manual,First,18.6,1197,81.83,5.0,Hyundai,i20 1.2 Asta,6,South Korea
Honda City i DTEC S,Ahmedabad,8737.87,2014,66000,Diesel,Manual,First,26.0,1498,98.6,5.0,Honda,City i DTEC S,10,Japan
Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV,Ahmedabad,12263.68,2013,119000,Diesel,Manual,First,12.99,2494,100.0,8.0,Toyota,Innova 2.5 VX (Diesel) 8 Seater BS IV,11,Japan
Renault KWID RXT,Chennai,3985.7,2016,45000,Petrol,Manual,First,25.17,799,53.3,5.0,Renault,KWID RXT,8,France
Maruti A-Star Vxi,Hyderabad,3755.75,2009,66149,Petrol,Manual,First,19.0,998,66.1,5.0,Maruti,A-Star Vxi,15,India
Mercedes-Benz B Class B180,Kochi,17736.35,2014,42070,Petrol,Automatic,First,14.8,1595,120.7,5.0,Mercedes-Benz,B Class B180,10,Germany
Maruti Wagon R LXI BS IV,Kolkata,3525.81,2012,35503,Petrol,Manual,First,18.9,998,67.1,5.0,Maruti,Wagon R LXI BS IV,12,India
Maruti Swift VDI BSIV,Jaipur,9044.46,2016,41460,Diesel,Manual,First,25.2,1248,74.0,5.0,Maruti,Swift VDI BSIV,8,India
Hyundai Verna VTVT 1.6 AT SX Option,Mumbai,11037.31,2015,40600,Petrol,Automatic,First,17.0,1591,121.3,5.0,Hyundai,Verna VTVT 1.6 AT SX Option,9,South Korea
Hyundai Verna CRDi 1.6 AT SX Option,Ahmedabad,9044.46,2013,87000,Diesel,Automatic,First,22.0,1582,126.2,5.0,Hyundai,Verna CRDi 1.6 AT SX Option,11,South Korea
Honda City V MT,Chennai,9197.76,2014,30000,Petrol,Manual,Second,16.8,1497,116.3,5.0,Honda,City V MT,10,Japan
Hyundai i10 Magna Optional 1.1L,Kolkata,2989.27,2010,27089,Petrol,Manual,First,16.0,1086,66.7,5.0,Hyundai,i10 Magna Optional 1.1L,14,South Korea
Toyota Etios GD SP,Coimbatore,10040.89,2016,53702,Diesel,Manual,First,23.59,1364,67.04,5.0,Toyota,Etios GD SP,8,Japan
Volvo S60 D4 Momentum,Hyderabad,38324.0,2015,51000,Diesel,Automatic,First,27.03,1969,190.0,5.0,Volvo,S60 D4 Momentum,9,Sweden
Ford Figo Diesel EXI,Kolkata,4062.34,2012,36542,Diesel,Manual,First,20.0,1399,68.05,5.0,Ford,Figo Diesel EXI,12,USA
Mercedes-Benz E-Class 2015-2017 E350 CDI Avantgrade,Mumbai,106540.72,2017,15000,Diesel,Automatic,First,13.0,2987,265.0,5.0,Mercedes-Benz,E-Class 2015-2017 E350 CDI Avantgrade,7,Germany
BMW 3 Series 320d Luxury Line,Chennai,21461.44,2012,65000,Diesel,Automatic,First,22.69,1995,190.0,5.0,BMW,3 Series 320d Luxury Line,12,Germany
Maruti Alto 800 VXI,Pune,3219.22,2014,32000,Petrol,Manual,Second,22.74,796,47.3,5.0,Maruti,Alto 800 VXI,10,India
Toyota Innova Crysta 2.4 VX MT,Hyderabad,31272.38,2017,24393,Diesel,Manual,First,13.68,2393,147.8,7.0,Toyota,Innova Crysta 2.4 VX MT,7,Japan
Volkswagen Polo 1.0 MPI Trendline,Hyderabad,8707.21,2019,1000,Petrol,Manual,First,18.78,999,75.0,5.0,Volkswagen,Polo 1.0 MPI Trendline,5,Germany
Nissan Terrano XL,Mumbai,8507.93,2014,28238,Petrol,Manual,First,13.24,1598,102.5,5.0,Nissan,Terrano XL,10,Japan
Mitsubishi Pajero Sport 4X4,Mumbai,19545.24,2013,59000,Diesel,Manual,First,13.5,2477,175.56,7.0,Mitsubishi,Pajero Sport 4X4,11,Japan
Honda Civic 2010-2013 1.8 S MT,Mumbai,5135.42,2012,92000,Petrol,Manual,Second,14.8,1799,130.2,5.0,Honda,Civic 2010-2013 1.8 S MT,12,Japan
Maruti Alto 800 LXI,Kolkata,2376.09,2013,56840,Petrol,Manual,First,22.74,796,47.3,5.0,Maruti,Alto 800 LXI,11,India
Volkswagen Vento Diesel Highline,Coimbatore,9044.46,2013,62746,Diesel,Manual,Second,20.54,1598,103.6,5.0,Volkswagen,Vento Diesel Highline,11,Germany
Land Rover Freelander 2 HSE,Hyderabad,29095.58,2012,96000,Diesel,Automatic,First,12.35,2179,187.74,5.0,Land,Rover Freelander 2 HSE,12,UK
Honda CR-V 2.0L 2WD MT,Mumbai,17644.37,2014,24000,Petrol,Manual,First,13.7,1997,153.86,5.0,Honda,CR-V 2.0L 2WD MT,10,Japan
Maruti Ertiga VDI,Mumbai,11880.44,2016,54000,Diesel,Manual,First,20.77,1248,88.76,7.0,Maruti,Ertiga VDI,8,India
Toyota Innova 2.5 GX (Diesel) 7 Seater,Chennai,21308.14,2016,90000,Diesel,Manual,First,12.99,2494,100.6,7.0,Toyota,Innova 2.5 GX (Diesel) 7 Seater,8,Japan
Tata Manza Aura Safire,Kolkata,2069.5,2010,40000,Petrol,Manual,First,15.0,1368,90.0,5.0,Tata,Manza Aura Safire,14,India
Audi Q7 35 TDI Quattro Premium Plus,Mumbai,58252.48,2015,65938,Diesel,Automatic,Second,12.07,2967,241.4,7.0,Audi,Q7 35 TDI Quattro Premium Plus,9,Germany
Hyundai Verna 1.6 SX VTVT (O) AT,Mumbai,17782.34,2017,16100,Petrol,Automatic,First,17.1,1591,121.4,5.0,Hyundai,Verna 1.6 SX VTVT (O) AT,7,South Korea
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Hyderabad,18778.76,2017,3600,Diesel,Automatic,First,21.5,1498,108.5,5.0,Volkswagen,Vento 1.5 Highline Plus AT 16 Alloy,7,Germany
Honda City 1.5 S MT,Jaipur,5825.25,2011,52000,Petrol,Manual,First,17.0,1497,118.0,5.0,Honda,City 1.5 S MT,13,Japan
Ford Figo Diesel Titanium,Mumbai,4982.12,2014,54000,Diesel,Manual,First,20.0,1399,68.05,5.0,Ford,Figo Diesel Titanium,10,USA
Honda Jazz 1.2 VX i VTEC,Mumbai,9810.94,2016,15399,Petrol,Manual,First,18.7,1199,88.7,5.0,Honda,Jazz 1.2 VX i VTEC,8,Japan
Volkswagen Polo Petrol Highline 1.2L,Bangalore,6055.19,2012,75000,Petrol,Manual,Second,16.47,1198,73.9,5.0,Volkswagen,Polo Petrol Highline 1.2L,12,Germany
Honda City i-VTEC S,Delhi,5472.67,2010,76752,Petrol,Manual,First,17.4,1497,117.3,5.0,Honda,City i-VTEC S,14,Japan
Honda City ZX GXi,Mumbai,1916.2,2005,56000,Petrol,Manual,Second,17.7,1497,78.0,5.0,Honda,City ZX GXi,19,Japan
Maruti Wagon R LXI CNG,Pune,5595.3,2015,70000,CNG,Manual,First,26.2,998,58.2,5.0,Maruti,Wagon R LXI CNG,9,India
Honda CR-V 2.4L 4WD AT AVN,Kolkata,19162.0,2013,46125,Petrol,Automatic,Second,12.0,2354,187.4,5.0,Honda,CR-V 2.4L 4WD AT AVN,11,Japan
BMW 5 Series 2013-2017 520d Luxury Line,Ahmedabad,35258.08,2014,35000,Diesel,Automatic,Second,18.12,1995,190.0,5.0,BMW,5 Series 2013-2017 520d Luxury Line,10,Germany
Ambassador Classic Nova Diesel,Chennai,2069.5,2003,80000,Diesel,Manual,Third,12.8,1489,35.5,5.0,Ambassador,Classic Nova Diesel,21,India
Mahindra Scorpio VLX 2.2 mHawk BSIII,Coimbatore,9688.31,2012,62729,Diesel,Manual,First,12.05,2179,120.0,8.0,Mahindra,Scorpio VLX 2.2 mHawk BSIII,12,India
Volkswagen Vento Diesel Comfortline,Kolkata,5212.06,2012,34000,Diesel,Manual,First,20.54,1598,103.6,5.0,Volkswagen,Vento Diesel Comfortline,12,Germany
Maruti Zen VX,Jaipur,1180.38,1999,70000,Petrol,Manual,Second,17.3,993,60.0,5.0,Maruti,Zen VX,25,India
Maruti 800 DX BSII,Jaipur,1379.66,2009,32000,Petrol,Manual,First,16.1,796,37.0,4.0,Maruti,800 DX BSII,15,India
Toyota Corolla Altis 1.8 VL CVT,Delhi,27593.28,2017,21000,Petrol,Automatic,First,14.28,1798,138.03,5.0,Toyota,Corolla Altis 1.8 VL CVT,7,Japan
BMW 3 Series 328i Sport Line,Pune,29126.24,2013,49000,Petrol,Automatic,First,14.59,1997,245.0,5.0,BMW,3 Series 328i Sport Line,11,Germany
Ford Ikon 1.3 Flair,Chennai,1686.26,2007,40000,Petrol,Manual,Third,13.8,1299,70.0,5.0,Ford,Ikon 1.3 Flair,17,USA
Chevrolet Beat LT,Pune,3065.92,2012,78000,Petrol,Manual,Second,18.6,1199,79.4,5.0,Chevrolet,Beat LT,12,USA
Toyota Corolla Altis 1.4 DG,Ahmedabad,9964.24,2012,52000,Diesel,Manual,First,21.43,1364,86.79,5.0,Toyota,Corolla Altis 1.4 DG,12,Japan
Mahindra XUV500 W4,Bangalore,14486.47,2014,65213,Diesel,Manual,First,16.0,2179,140.0,7.0,Mahindra,XUV500 W4,10,India
Hyundai Xcent 1.1 CRDi Base,Mumbai,6131.84,2016,170000,Diesel,Manual,First,24.4,1120,71.0,5.0,Hyundai,Xcent 1.1 CRDi Base,8,South Korea
Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,Kochi,49437.96,2017,36884,Diesel,Automatic,First,13.0,2143,204.0,5.0,Mercedes-Benz,E-Class 2015-2017 E250 CDI Avantgarde,7,Germany
Hyundai i10 Sportz,Pune,3219.22,2009,62500,Petrol,Manual,First,20.36,1197,78.9,5.0,Hyundai,i10 Sportz,15,South Korea
Toyota Corolla Altis VL AT,Mumbai,14946.36,2015,68000,Petrol,Automatic,Second,14.28,1798,138.03,5.0,Toyota,Corolla Altis VL AT,9,Japan
Toyota Corolla 1.8 J,Kolkata,9657.65,2014,40748,Petrol,Manual,First,14.53,1798,138.0,5.0,Toyota,Corolla 1.8 J,10,Japan
Audi Q3 2.0 TDI Quattro,Hyderabad,32192.16,2013,60000,Diesel,Automatic,First,17.32,1968,184.0,5.0,Audi,Q3 2.0 TDI Quattro,11,Germany
Hyundai i20 Magna Optional 1.4 CRDi,Mumbai,7128.26,2014,12400,Diesel,Manual,First,21.9,1396,88.8,5.0,Hyundai,i20 Magna Optional 1.4 CRDi,10,South Korea
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Mumbai,26060.32,2013,87000,Diesel,Automatic,Second,19.27,2143,167.62,5.0,Mercedes-Benz,New C-Class C 220d Avantgarde Edition C,11,Germany
Maruti Ritz VDi,Pune,6668.38,2013,20248,Diesel,Manual,First,21.1,1248,73.9,5.0,Maruti,Ritz VDi,11,India
Hyundai Creta 1.6 SX Plus Diesel,Coimbatore,22718.47,2017,52383,Diesel,Manual,First,19.67,1582,126.2,5.0,Hyundai,Creta 1.6 SX Plus Diesel,7,South Korea
Jaguar XE 2.0L Diesel Prestige,Delhi,61318.4,2018,1000,Diesel,Automatic,First,13.6,1999,177.0,5.0,Jaguar,XE 2.0L Diesel Prestige,6,UK
Mahindra Xylo D4,Chennai,9427.7,2016,85000,Diesel,Manual,First,14.95,2489,93.7,7.0,Mahindra,Xylo D4,8,India
Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,17245.8,2014,47000,Diesel,Manual,First,12.99,2494,100.6,7.0,Toyota,Innova 2.5 G (Diesel) 7 Seater,10,Japan
Toyota Camry 2.5 Hybrid,Pune,49054.72,2018,17585,Petrol,Automatic,First,19.16,2494,157.7,5.0,Toyota,Camry 2.5 Hybrid,6,Japan
Audi Q5 3.0 TDI Quattro,Coimbatore,69933.64,2018,32496,Diesel,Automatic,First,13.22,2967,241.4,5.0,Audi,Q5 3.0 TDI Quattro,6,Germany
